Machine Number,Category,Reading
LD084,IDLE CO,0
LD084,IDLE NO,11
LD084,IDLE NO2,2.5
LD084,IDLE NOX,3.83
LD084,HIGH IDLE CO,3
LD084,HIGH IDLE NO,62
LD084,HIGH IDLE NO2,3.4
LD084,HIGH IDLE NOX,6.03
LD084,STALL CO,6
LD084,STALL NO,137
LD084,STALL NO2,11.9
LD084,STALL NOX,8.81
LD084,DPM mg/m3,20920
LD084,IDLE CO,0
LD084,IDLE NO,0
LD084,IDLE NO2,0.1
LD084,IDLE NOX,0.1
LD084,HIGH IDLE CO,1
LD084,HIGH IDLE NO,2
LD084,HIGH IDLE NO2,0.2
LD084,HIGH IDLE NOX,2.2
LD084,STALL CO,1
LD084,STALL NO,2
LD084,STALL NO2,1
LD084,STALL NOX,3
LD084,DPM mg/m3,3850
,,
LD070,IDLE CO,1
LD070,IDLE NO,0
LD070,IDLE NO2,0.4
LD070,IDLE NOX,0.4
LD070,HIGH IDLE CO,2
LD070,HIGH IDLE NO,0
LD070,HIGH IDLE NO2,0.4
LD070,HIGH IDLE NOX,0.4
LD070,STALL CO,1
LD070,STALL NO,0
LD070,STALL NO2,0.5
LD070,STALL NOX,0.5
LD070,DPM mg/m3,130
,,
LD071,IDLE CO,63
LD071,IDLE NO,6
LD071,IDLE NO2,2.4
LD071,IDLE NOX,8.4
LD071,HIGH IDLE CO,93
LD071,HIGH IDLE NO,24
LD071,HIGH IDLE NO2,3.6
LD071,HIGH IDLE NOX,27.6
LD071,STALL CO,240
LD071,STALL NO,270
LD071,STALL NO2,5.3
LD071,STALL NOX,275
LD071,DPM mg/m3,20
,,
LD076,IDLE CO,0
LD076,IDLE NO,5
LD076,IDLE NO2,2.2
LD076,IDLE NOX,7.2
LD076,HIGH IDLE CO,0
LD076,HIGH IDLE NO,53
LD076,HIGH IDLE NO2,10.8
LD076,HIGH IDLE NOX,63.8
LD076,STALL CO,2
LD076,STALL NO,177
LD076,STALL NO2,10
LD076,STALL NOX,187
LD076,DPM mg/m3,1470
LD076,IDLE CO,1
LD076,IDLE NO,45
LD076,IDLE NO2,12.4
LD076,IDLE NOX,57.4
LD076,HIGH IDLE CO,2
LD076,HIGH IDLE NO,54
LD076,HIGH IDLE NO2,8
LD076,HIGH IDLE NOX,62
LD076,STALL CO,0
LD076,STALL NO,303
LD076,STALL NO2,72.7
LD076,STALL NOX,375.7
LD076,DPM mg/m3,840
,,
LD078,IDLE CO,6
LD078,IDLE NO,4
LD078,IDLE NO2,0.1
LD078,IDLE NOX,4.1
LD078,HIGH IDLE CO,6
LD078,HIGH IDLE NO,4
LD078,HIGH IDLE NO2,0.2
LD078,HIGH IDLE NOX,4.2
LD078,STALL CO,0
LD078,STALL NO,0
LD078,STALL NO2,0.2
LD078,STALL NOX,0.2
LD078,DPM mg/m3,2830
LD078,IDLE CO,0
LD078,IDLE NO,154
LD078,IDLE NO2,64.9
LD078,IDLE NOX,218.9
LD078,HIGH IDLE CO,0
LD078,HIGH IDLE NO,105
LD078,HIGH IDLE NO2,75.9
LD078,HIGH IDLE NOX,180.9
LD078,STALL CO,0
LD078,STALL NO,137
LD078,STALL NO2,66.7
LD078,STALL NOX,218.9
LD078,DPM mg/m3,1440
,,
LD079,IDLE CO,31
LD079,IDLE NO,27
LD079,IDLE NO2,41
LD079,IDLE NOX,68
LD079,HIGH IDLE CO,73
LD079,HIGH IDLE NO,144
LD079,HIGH IDLE NO2,66
LD079,HIGH IDLE NOX,210
LD079,STALL CO,106
LD079,STALL NO,210
LD079,STALL NO2,63
LD079,STALL NOX,273
LD079,DPM mg/m3,0
,,
LD094,IDLE CO,10
LD094,IDLE NO,7
LD094,IDLE NO2,0.6
LD094,IDLE NOX,7.6
LD094,HIGH IDLE CO,56
LD094,HIGH IDLE NO,32
LD094,HIGH IDLE NO2,1.4
LD094,HIGH IDLE NOX,33.4
LD094,STALL CO,387
LD094,STALL NO,648
LD094,STALL NO2,7.9
LD094,STALL NOX,655.9
LD094,DPM mg/m3,0
,,
RB016,IDLE CO,142
RB016,IDLE NO,209
RB016,IDLE NO2,0.09
RB016,IDLE NOX,209.9
RB016,HIGH IDLE CO,137
RB016,HIGH IDLE NO,167
RB016,HIGH IDLE NO2,0.7
RB016,HIGH IDLE NOX,167.7
RB016,STALL CO,107
RB016,STALL NO,166
RB016,STALL NO2,0
RB016,STALL NOX,166
RB016,DPM mg/m3,420
